epoch,split,loss,ppl,epoch_time_s,elapsed_s,tokens_per_s
1,train,5.560035333540532,259.83201694586023,1204.455,1204.455,94267.6
1,valid,4.251938798341327,70.24146445004222,1204.455,1204.455,94267.6
2,train,4.307147102232103,74.22842048425477,1196.106,2402.075,94925.6
2,valid,4.10687053167369,60.75628487934975,1196.106,2402.075,94925.6
3,train,4.210691856718682,67.40315700908306,1196.1,3599.597,94926.1
3,valid,4.05473888010585,57.67010221892734,1196.1,3599.597,94926.1
4,train,4.171143667109601,64.78950738067955,1195.882,4796.856,94943.4
4,valid,4.024505447518329,55.95263042577537,1195.882,4796.856,94943.4
5,train,4.139756616833922,62.78753815960188,1196.211,5994.437,94917.3
5,valid,3.994656275148979,54.3071706911816,1196.211,5994.437,94917.3
6,train,4.1127232689362065,61.11291807396406,1196.702,7192.67,94878.3
6,valid,3.974099696047956,53.20219718943033,1196.702,7192.67,94878.3
7,train,4.0953260525480495,60.05891832871197,1196.996,8391.14,94855.1
7,valid,3.956369752628439,52.26723812113124,1196.996,8391.14,94855.1
8,train,4.078480614160562,59.05567329560682,1196.84,9589.431,94867.5
8,valid,3.9405630217570358,51.44755924298633,1196.84,9589.431,94867.5
9,train,4.066577595549744,58.35689952616338,1196.664,10787.573,94881.4
9,valid,3.9314416606727143,50.980421184467346,1196.664,10787.573,94881.4
10,train,4.05779492576401,57.846614261473164,1196.327,11985.287,94908.1
10,valid,3.92075941691047,50.438734265126975,1196.327,11985.287,94908.1
11,train,4.04917382729518,57.35005641635827,1195.617,13182.469,94964.5
11,valid,3.9127820141109373,50.037964840138606,1195.617,13182.469,94964.5
12,train,4.04366833018018,57.035183407762595,1196.712,14380.693,94877.6
12,valid,3.907133265181623,49.75610975359281,1196.712,14380.693,94877.6
